0.0114, 0.2538
0.0228, 0.2756
0.031, 0.2936
0.0421, 0.3002
0.0518, 0.3012
0.0605, 0.3007
0.0705, 0.3189
0.0808, 0.309
0.0926, 0.3256
0.1018, 0.3383
0.1114, 0.3404
0.1228, 0.346
0.1332, 0.344
0.1438, 0.3518
0.1542, 0.3494
0.1649, 0.3544
0.1738, 0.3602
0.1851, 0.3685
0.1962, 0.3733
0.2048, 0.3749
0.2145, 0.3735
0.223, 0.3754
0.2329, 0.3833
0.241, 0.3898
0.252, 0.3926
0.2629, 0.4009
0.2716, 0.4046
0.2813, 0.4162
0.2932, 0.4256
0.303, 0.4246
0.3142, 0.4261
0.3244, 0.4349
0.3347, 0.4319
0.3441, 0.4409
0.3539, 0.4427
0.3643, 0.4437
0.3749, 0.445
0.3837, 0.4509
0.3924, 0.4598
0.4007, 0.4643
0.4107, 0.467
0.421, 0.4755
0.4326, 0.4793
0.4433, 0.485
0.4529, 0.4874
0.4627, 0.4919
0.4722, 0.498
0.4827, 0.5005
0.4929, 0.5018
0.5033, 0.5077
0.5071, 0.5029
0.5173, 0.5089
0.5278, 0.512
0.5373, 0.5181
0.5471, 0.5207
0.5567, 0.5185
0.5674, 0.5204
0.579, 0.5275
0.5893, 0.5306
0.5993, 0.5334
0.6076, 0.5338
0.6163, 0.535
0.6251, 0.5358
0.6357, 0.5363
0.6461, 0.5349
0.6559, 0.5363
0.6653, 0.5422
0.6756, 0.5401
0.6858, 0.5416
0.697, 0.5478
0.7068, 0.5472
0.7187, 0.5498
0.7284, 0.5538
0.7371, 0.5557
0.748, 0.5554
0.759, 0.5541
0.7671, 0.5559
0.777, 0.5605
0.7855, 0.5611
0.7952, 0.5565
0.8038, 0.5547
0.8149, 0.5526
0.8262, 0.5518
0.8351, 0.5517
0.8458, 0.5516
0.8562, 0.5517
0.8668, 0.5509
0.8772, 0.551
0.8886, 0.5493
0.8982, 0.5475
0.9074, 0.5434
0.9192, 0.5405
0.9295, 0.5382
0.9395, 0.5367
0.9482, 0.5326
0.9579, 0.5284
0.969, 0.52
0.9772, 0.5113
0.9886, 0.5055
